a,b,c,s
31.89237624,0.642636783,8.088440193,0.516444173
23.8378372,0.251153229,10.24884171,0.413862873
4.769606442,0.226222733,1.734495933,0.507057979
4.729243857,0.085549946,-0.333333017,1.563298089
3672657.503,0.305341274,1611090.085,0.445803528
5.465749558,1.010769528,0.432124205,0.447048702
16.01502047,0.467971156,3.860391753,0.370339236
4.97234286,0.208774109,-0.333333286,1.198605443
9448.304181,2223.958491,0.216672908,0.335521353
5.042512051,0.176669861,-0.333333065,1.300960326
5287.142784,1608.407461,-0.028883205,0.286940206
13.28211905,0.634042778,3.057351625,0.488007341
20.59237261,1.041931475,3.275686145,0.404951926
3.338804907,0.405982064,0.381352491,0.409601905
4.637041669,0.070901031,-0.333332875,1.612501199
4.742311837,0.115853488,-0.333333314,1.495568542
6.187431392,2.156846794,-0.05270991,0.315452098
12.38757602,0.420815854,3.261391771,0.421151727
6.421684684,1.723686547,0.25526878,0.419665332
9.769591651,0.917677936,1.214916662,0.44266482
4.945494388,0.210153178,-0.333333276,1.228216029
3.308711357,0.489541105,0.321637633,0.322436768
3.453793708,0.501442698,0.399842517,0.385126426
4.453313325,0.115229822,-0.333333277,1.411815854
8.694584963,0.441177181,1.901089583,0.329543355
4.686027533,0.152302887,-0.333333243,1.383835635
3809.118067,663.3957333,0.570933823,0.454760453
7.358857706,0.832995575,0.741836464,0.288879057
27.95396505,0.420931048,8.403165716,0.428466609
16.42401939,0.274483155,6.171179127,0.405800823
3.38314715,0.519906083,0.32251968,0.479357312
5.505552708,1.013502849,0.325022232,0.424384484
4.700011918,0.101242829,-0.333332856,1.476390611
4.746910648,0.088765387,-0.333332869,1.567881394
4137123.312,0.268800958,1974616.019,0.445134963
7.148048103,0.603212641,1.20596173,0.459852346
7.587212322,0.844924181,0.831919969,0.371559796
5.08775329,0.125401851,-0.333332728,1.395929262
18.53823398,0.555872469,4.813466191,0.385623229
4.602131945,0.394240306,0.889054761,0.456453331
4.802778242,0.029756397,-0.333332912,1.019028494
4.579839158,0.109060074,-0.333333001,1.475292854
4.701323657,0.139232011,-0.333332776,1.332427123
4.792374529,0.140308011,-0.333332817,1.391133749
4.798455717,0.084969516,-0.33333312,1.550264588
4.681148533,0.280096338,1.476406963,0.506541547
313020.0195,0.094781652,174674.2399,0.337704628
3.216744481,0.487511889,0.376391729,0.452947659
13.02874181,0.718391304,2.404963457,0.383405879
4.659471443,0.090162811,-0.333333204,1.513343832
1779293.201,0.271336932,886985.1222,0.452399422
5.66535034,0.350576452,1.316747768,0.467108469
4.916095581,0.198615093,-0.333333147,1.208681193
7.021195555,0.445524186,1.749874071,0.384711225
5.041029659,0.129811648,-0.333332724,1.421986789
4.837456155,0.098066845,-0.333333063,1.54464863
5.060110234,0.144608299,-0.33333316,1.430801953
77.22549052,13.26171836,0.63628537,0.40192523
31.10592839,1.029515618,5.269308658,0.470056271
6.340854281,1.31038485,0.347624553,0.371027325
6.566577257,0.287471891,2.548055385,0.447978295
347278.9897,0.279837288,144566.9564,0.400723345
4.375832399,0.527539562,0.627897237,0.477054032
4.671745081,0.078059384,-0.333332899,1.570021489
4.720372567,0.129588672,-0.33333292,1.43470562
4.586454396,0.064192049,-0.333333,1.655691455
16180.27286,2892.583518,0.417529801,0.392667434
3.373131248,0.422872368,0.566776016,0.363050235
7285082.43,0.312865059,3433529.115,0.433180326
7.203510622,0.485752665,1.486064688,0.375553579
5.086212342,0.157239401,-0.333333182,1.284897173
18.81983229,1.815678306,1.408566756,0.558310875
6.77351554,0.539698281,1.177093745,0.338297611
4.622529621,0.12579778,-0.33333315,1.361707189
7.743232641,1.183391659,0.600966291,0.327235867
14.79848775,3.822632854,0.164929798,0.333338515
5.005992858,0.167006128,-0.333333181,1.346463848
3.35831553,0.31385711,0.619344819,0.419513229
454473.4811,1.112006681,66940.10495,0.383400806
2282.670467,304.6222965,1.156435658,0.462611562
6.036958861,0.454194934,1.242636272,0.378353831
64958.40521,0.222594134,34301.45418,0.467821685
3.646186915,0.338866818,0.83418468,0.544789149
41144107.28,0.566183751,11253396.1,0.283593186
3159.750789,741.7719252,0.197365741,0.462847454
4.764401591,0.161764599,-0.333333015,1.30253803
4.55785622,0.105012312,-0.333332883,1.460550891
4.88843562,0.150957663,-0.333332946,1.338914477
4.663598264,0.111698753,-0.333332578,1.476553451
5.952439467,1.330424686,0.278644697,0.459707089
25.05427604,0.488771373,6.814684778,0.352964872
172171.2664,0.309476656,68298.1619,0.375826344
5.52312092,0.764532663,0.566791704,0.357708426
4.727439817,0.200434317,-0.333333197,1.287623294
6.356638747,0.679516931,1.072122023,0.466884353
250159.5678,0.230715969,122469.6045,0.453280818
15.25709515,0.990867735,2.313448431,0.43960308
6.779492561,0.677727343,0.656611928,0.38866303
7.342405123,0.684563757,1.335939432,0.480939321
4.795387838,0.132407648,-0.333333243,1.412930643
4.693204473,0.098325337,-0.333333286,1.527681824
8.116816702,1.172991188,0.723315095,0.327921464
28.23541607,0.486534014,7.789948922,0.386473685
15.48231208,0.879868098,2.378089709,0.443652783
7.756347836,1.181805234,0.585670675,0.44296159
4.698630475,0.133352091,-0.333333277,1.442867729
4.498762468,0.108262272,-0.333332816,1.512506746
5.735406288,0.367654147,1.236899581,0.504414251
9.769275398,0.987059623,1.229349779,0.466804099
4.91020256,0.164065977,-0.333333132,1.263060393
4.822068875,0.133009563,-0.333333043,1.413342946
4.883758806,0.200916613,-0.333333288,1.277014499
5.925172343,0.424117261,1.404440913,0.443682884
4.796394219,0.175485878,-0.333333194,1.28490189
4.880658529,0.116515634,-0.333332703,1.47304693
73974.55433,0.291271519,35317.29221,0.43328296
7.083488866,1.677500147,0.309117536,0.396978362
7.055722766,0.444554661,1.688756872,0.441813967
4.996867416,0.155874395,-0.333333146,1.397253582
14.27172353,2.198483648,0.664945234,0.431564531
4.792577715,0.160142603,-0.333333089,1.384320625
261013.6392,0.404979616,97245.48065,0.475177392
5.022476969,0.326489049,-0.333333255,1.26714817
4.657826364,0.103804148,-0.333332699,1.538388131
4.019224965,0.430190155,0.621993677,0.36834252
4.800944352,0.113466956,-0.33333325,1.383049964
4.846447252,0.173459066,-0.333333081,1.386135885
188448.8422,1.017486013,30121.27022,0.446981379
4.809018953,0.153834975,-0.333333331,1.37836387
4.772031809,0.095190633,-0.333332942,1.472350655
6.452609147,0.378148991,1.668512027,0.424299952
3.527425171,0.405643849,0.442879318,0.449317368
4.760500333,0.133903731,-0.333332958,1.408125745
4.650420633,0.138347281,-0.33333315,1.429152538
5.159212122,0.319349757,-0.33333323,1.068535284
5.927343876,1.224498445,0.396710973,0.403540641
9.216600413,0.560307503,1.733970499,0.364055235
3.584351811,0.432106033,0.482709846,0.425103796
6363.769313,2423.615925,-0.197365286,0.392754876
4.738643538,0.805584555,0.404579083,0.340056111
4.546129885,0.137412004,-0.333333097,1.405086921
4.913982355,0.140467749,-0.333333125,1.403485159
29.57836273,0.505441469,8.897082431,0.531823485
4.431377848,0.062715308,-0.333332899,1.651582991
2.282017539,0.417338186,0.206528604,0.437751448
5.281726073,0.377060973,-0.333333322,1.088936021
17.48819019,0.890109708,3.16082532,0.458166545
4.711612088,0.096087718,-0.333333128,1.53202098
10.23604321,0.393093256,3.138899098,0.430215567
4.726710008,0.647252889,0.511534999,0.429626765
53.72776366,1.648248834,6.954351477,0.404886083
5.155249739,0.282369934,-0.333333021,1.132670869
10.43611041,1.458696275,0.820387562,0.344950084
8.836453361,0.303112878,2.759540548,0.411722143
4.749002688,0.144103412,-0.333333067,1.35426912
8.045107908,0.277987723,2.860186075,0.472577463
5.185522835,0.579289851,0.697634575,0.386545864
4.854937287,0.134381885,-0.3333332,1.426147159
847.8218216,410.6931828,-0.164291506,0.320659417
4.719840471,0.139389442,-0.333332663,1.317407782
4.032136357,0.29725514,1.016039807,0.523077125
4.810494991,0.547643088,0.651015423,0.33466848
12.91554404,0.881660484,2.047470025,0.404095199
123496.279,0.21599928,64530.33031,0.425341121
4.841888408,0.122808389,-0.333333312,1.436088347
6738.33253,534.2946272,2.348056284,0.363613521
27.14808954,0.29084375,10.83113692,0.406977808
204265.0542,0.361610669,77326.61987,0.486275883
10.1535019,0.616772103,1.739893614,0.45051377
7.263209472,0.576646012,1.210798241,0.326206479
7.893289538,0.549878844,1.591727633,0.457186382
443.9572353,250.3528211,-0.333333333,0.600106162
8.415935203,1.964955824,0.237318113,0.368709173
4.610575012,0.121051159,-0.333333245,1.429201912
174847.8527,0.229884774,83858.88729,0.418988268
4.772696852,0.158691313,-0.333333092,1.371063894
12.30975761,3.740827948,0.043053203,0.305605738
4.809994505,0.15274961,-0.333333221,1.397646384
17430.84252,5205.603021,0.005558958,0.328449143
4.588366826,0.058027436,-0.333332771,1.669180605
7.850417308,0.617304178,1.271020126,0.448216296
4.521943019,0.087766518,-0.33333331,1.544112672
