a,b,c,s
11000921.65,2177354.441,5095597.952,0.42815894
233235.7511,73410.07458,70892.84954,0.405743513
252735.4124,51388.91982,93268.54026,0.369451958
12391286.42,2352190.675,4846898.66,0.423188165
537053.709,131972.5269,118158.2854,0.37287224
12563331.64,3383161.234,3705384.562,0.332335562
319087.4772,84497.80434,97699.56807,0.380538363
231580.6628,33417.33638,103704.0787,0.365242464
699188.0527,126568.3014,459837.35,0.55944723
3.942801395,0.820872095,0.777108237,0.359574679
238780.8459,56922.81993,88539.35075,0.424873053
81536.8411,25144.07494,7296.462742,0.310400129
372922.7857,84957.85425,164585.3103,0.488035056
1003633.303,114527.1954,582783.5099,0.388392953
4206474.353,795673.4066,2203015.527,0.450696967
117041.3424,29042.53303,30562.90409,0.438223323
562989.6843,148758.2136,181308.0849,0.453867831
368518.9352,85540.10472,119675.2594,0.402400878
338722.3129,104758.0461,74801.55179,0.362082704
266823.9764,40295.04235,146047.4703,0.430660726
704172.1549,151041.0971,233582.0306,0.436252376
8094050.226,1185302.886,4886814.657,0.485306185
28502823.63,6338268.562,9673570.522,0.389808911
72461.71087,14309.22589,19790.58482,0.378990764
145439.5514,47264.1995,27117.45639,0.32967879
867734.3777,177956.7431,385828.222,0.363764323
349032.0142,58155.90172,189005.9606,0.522463147
353296.9922,74347.95341,118550.1072,0.338443772
500724.0764,119898.267,223097.4725,0.442271991
347540.2038,73701.98498,186489.4623,0.458327163
400223.4923,51931.06563,205064.2941,0.351838778
1232901.337,374932.2308,264029.4071,0.418306146
948988.2927,113892.3648,675522.3721,0.460712258
513237.7109,71169.60033,309025.5406,0.546606485
6432129.693,1105293.05,2649609.93,0.465416481
672515.7276,150319.6927,210653.1003,0.34792411
69663959.48,13425900.65,35610141.07,0.478473951
379414.0122,70364.96738,131658.909,0.419319569
375109.9013,112849.6997,65770.66766,0.364816185
847665.311,158339.3209,434275.0539,0.442268284
659908.9765,80924.14424,385019.3727,0.454844161
396889.059,40875.17912,285679.5502,0.49791268
388597.6543,120614.9883,54993.03404,0.29991793
206877.8649,38500.16772,75096.32413,0.449634168
2427.357236,723.1370459,0.00E+00,0.328613976
342095.108,63683.6178,98059.07053,0.315146312
304040.0793,62835.59816,109514.5245,0.460817934
476736.1647,104900.8239,165160.0547,0.351222265
19045571.54,4496078.304,7637716.769,0.473026673
397498.507,76230.86644,150578.3703,0.432741215
291814.0171,35297.62534,190365.6841,0.492293617
548777.0799,139479.17,220374.4247,0.431188947
384022.4475,60053.44882,141573.844,0.277914894
331544.2341,63790.69287,135839.0868,0.469475415
382694.5984,140288.5701,77413.39788,0.42295559
420305.2139,111813.015,66189.22388,0.276852133
320968.4728,66232.4999,140061.1347,0.373976356
323525.6557,118535.0785,49957.96911,0.329630648
725662.4753,166820.5426,306812.5224,0.485631323
735066.3209,174466.9672,299246.5543,0.490947713
476595.4449,69649.6916,232152.895,0.376953367
703096.4768,148889.7363,330937.003,0.443361977
476262.2206,110709.8496,162315.0859,0.350564601
354904.6032,43420.81862,225322.3866,0.443684031
356775.2233,46362.66189,222454.7899,0.487038125
244632.4174,55913.19991,124834.8812,0.468674707
560154.9398,118470.1513,191212.2773,0.394059164
19245570.41,2153188.267,11564855.16,0.360338542
442836.2005,49994.88751,283385.2568,0.440772307
784223.7166,84260.1684,657357.0439,0.418519095
651862.4004,120296.0566,267799.1411,0.427461371
146907.9053,45931.78784,21861.55944,0.349718522
507368.4578,67491.39647,265642.9284,0.335600309
364030.2384,29383.41928,265875.1584,0.406095152
14.75180375,4.441992041,4.887749033,0.386525902
12003291.16,2230438.979,3599961.301,0.358755224
1652435.75,260207.7828,1095264.044,0.638410189
465436.6139,121944.3429,101895.1101,0.342857015
852470.1657,213969.8397,310624.3097,0.450310911
408805.7531,81328.94573,231369.7229,0.541834376
258752.9543,73684.70102,68118.31393,0.390545723
583218.192,99107.78001,195166.5738,0.348910178
264526.6268,61879.42075,68990.69861,0.37554883
461488.2987,94838.81065,147564.3455,0.448987447
365753.7769,60057.20427,172381.8482,0.345002651
427937.3697,80395.93983,187332.0194,0.469392153
533084.7811,69038.58484,286112.6096,0.35171794
318984.817,90171.60273,81021.78145,0.344048276
1159393.062,357857.584,306248.4906,0.380189403
403688.7723,67652.87191,168898.812,0.353067179
345022.0875,79086.6952,114432.1834,0.388730868
428715.3609,103922.7633,119322.3165,0.438706119
265446.2627,61552.5731,61850.0014,0.351033016
491903.8135,118477.2758,191844.2814,0.497818304
1224616.65,308206.2561,428377.7034,0.400936887
754163.2243,149911.7866,301627.7044,0.449647816
824997.4552,109052.9628,372284.0466,0.382447797
3165615.899,558610.7175,1210373.68,0.388707834
484290.7144,72438.6544,214674.7547,0.433976013
302555.8892,74228.34848,61503.51446,0.350915092
586192.092,106968.8325,270945.4147,0.455006129
2629.879903,738.730576,0.063171849,0.246242994
1346167.287,208383.1408,356724.2297,0.326987994
346971.9246,94729.89421,120407.8524,0.376819043
526949.2967,146326.6462,165963.1439,0.424012704
1033628.714,282608.6037,347180.8936,0.419849159
415459.2907,81422.58716,135042.8565,0.317425449
430518.0244,143407.1934,131930.2004,0.458219868
1203561.271,319077.7366,261273.741,0.376126125
110646.1644,33336.3172,31381.19985,0.444798139
4540.183636,1263.409873,0.007446569,0.266159249
6919581.511,1601817.648,3006060.735,0.43009309
245198.767,44459.11662,143493.1263,0.503488568
1121505.544,214534.8834,537813.1708,0.448129835
667000.0553,112520.4462,263196.1069,0.325307602
1020321.292,269077.2813,379653.9329,0.406322314
229510.6954,37896.96137,85045.02741,0.344724608
350160.3903,64481.23639,200040.9664,0.441810151
350674.7727,99472.27348,91862.42663,0.454003392
689603.6308,211536.0891,61945.40833,0.345355536
369127.6396,34192.74091,278316.5467,0.455657133
7638973.62,969452.6618,4330907.252,0.395634721
511319.0377,92079.28027,216362.5034,0.476937068
281412.8313,41224.70989,115667.669,0.341424351
389547.1883,70628.73837,164933.9945,0.402906835
262144.2042,75503.41618,45761.47564,0.355519693
5157210.549,768662.216,3011563.355,0.497704158
817924.8279,140447.22,338648.3403,0.381813957
447445.7386,51957.5343,223181.6447,0.349725479
339778.6532,85155.80899,133083.8397,0.453305518
1069881.632,216554.6589,319512.6664,0.328727192
4053430.286,1205469.161,537315.0119,0.288483446
373539.2252,82684.0254,124301.9381,0.37503241
113844.3158,37418.17678,18151.19755,0.292576477
344091.8296,60156.71934,131552.606,0.343880196
218052.1985,54480.18859,44706.02436,0.255930146
391251.6909,75702.01524,160689.025,0.454487045
8124103.03,1096207.087,3085186.168,0.289794314
287528.8034,68275.19906,75724.15519,0.413841962
225304.1347,55845.06639,79135.3991,0.421182896
560587.8478,116231.793,198668.5207,0.411302261
469438.6692,141221.9749,93626.49358,0.351851886
182997.6213,51572.73492,29157.90756,0.400940986
79906.79222,29110.04522,12710.21638,0.318010875
557324.9736,55337.82387,312970.2644,0.376866213
141177.6721,28984.36533,31890.43309,0.265448807
1282914.563,292253.9589,462620.3885,0.454078928
347414.4268,63800.82871,110998.0109,0.294559151
1168482.608,162838.4095,420054.147,0.386241648
789672.2011,148881.3109,381165.9728,0.419575454
579941.5254,100105.8596,322906.0221,0.449659454
396704.5426,71274.47742,234094.3099,0.453470573
314107.6831,69788.28537,56651.33283,0.435641054
294822.3974,77144.61465,56447.16967,0.285532228
6.469632598,1.542906063,0.726957608,0.3029491
228573.7318,59951.20384,42350.59193,0.271535898
292079.621,50540.66324,136671.6972,0.404322942
400396.0616,97637.84524,142923.1363,0.409257476
368692.3089,74169.51726,113344.4689,0.415174195
340945.2342,74864.63803,106664.8818,0.366138316
197967.3898,55203.90045,30241.11841,0.367981277
316650.2504,40484.56626,184297.359,0.362803727
2648549.711,599111.8752,1037163.597,0.483468826
534961.1766,82345.52851,191845.0668,0.382704736
527532.828,100749.1359,270728.4313,0.498708454
261211.5644,67089.26484,78771.36147,0.500702966
364087.4109,65131.85349,137618.7694,0.424235396
378787.4816,81530.11552,170777.9694,0.452694632
417909.0983,101803.3703,107897.1016,0.339733592
372256.9208,56597.98726,145694.3355,0.279976282
555690.5944,53184.77198,367010.8414,0.429288412
318951.3162,66310.54204,140985.8485,0.317008641
548235.0778,167485.6351,127633.2449,0.385386535
242762.2649,62914.93786,75786.65788,0.433671262
366613.4603,68516.94616,131325.6091,0.443162984
291425.917,95150.70713,81857.95999,0.430939035
486239.7833,111280.6704,122148.9229,0.294112092
365653.7224,79113.23966,161773.7605,0.418635181
37452.54921,9037.444472,12577.11597,0.376434924
402507.7521,119527.367,94501.71117,0.407945834
515979.6603,121395.1257,191251.8612,0.4715269
340309.5192,70510.99837,128950.9186,0.383241535
489335.8116,86496.92573,152831.891,0.355666281
9937.163915,2579.550909,0.223049725,0.41168321
1875672.253,469741.0021,619349.0095,0.400520731
13509398.2,3779366.629,4257127.427,0.423026866
394166.8335,91689.43423,88372.48742,0.408392619
1316.711848,413.3838402,0.002063058,0.351498929
203423.357,49579.6573,52743.03588,0.350989788
412478.7069,106406.0985,150074.3422,0.382076414
539943.2168,78610.49535,299676.372,0.529783206
1114033.429,289937.1218,392181.0854,0.351067768
422822.1295,57022.81723,174507.798,0.382517939
5679.238851,1407.502286,0.00E+00,0.34670996
189355.7927,42638.47611,45295.73439,0.324790071
810229.3435,229416.8645,181840.4717,0.352905297
6224221.874,1749180.533,1754578.947,0.412703186
1331983.124,286141.9574,422754.796,0.44846834
891167.8016,185640.8907,258834.2398,0.408476429
9299688.687,2021463.29,3729123.194,0.51753647
314278.7714,50727.38755,203369.1447,0.576516735
524103.4693,79596.70525,241699.9017,0.438358036
582643.4393,87733.51494,336223.1549,0.464640939
562352.9817,125183.2169,236358.9683,0.529632892
217728.7007,48942.45453,72359.26325,0.392868694
255802.3457,43068.90042,93757.5581,0.373478619
9656.496146,2414.539317,1777.170412,0.35543807
119313.7636,41527.82969,27316.74989,0.391411389
369311.2031,84962.78367,138838.7901,0.398921154
5031752.893,1268711.744,2001573.601,0.465538291
373133.253,78682.57754,192751.0782,0.499740077
108985.3661,30331.79375,15799.36646,0.312322609
301553.9361,88777.44959,78012.39288,0.378626679
438140.2814,53643.1171,233453.4753,0.399257495
647528.2022,174110.9864,145081.7516,0.40404075
339672.2217,40056.9964,145524.5646,0.30560847
302534.5351,79895.21424,90995.38151,0.407515219
12400567.49,2758097.053,4136043.186,0.26963817
274430.6884,64669.68164,119165.0778,0.434671217
388923.033,61926.94274,140018.3187,0.35449447
539445.6193,132722.6641,188996.6081,0.42458717
385025.4449,99013.7912,131608.1505,0.323236839
1234174.101,329405.3889,435394.8985,0.458333642
232706.2468,21209.4425,133783.0974,0.384287499
290735.8848,66711.8883,117206.6039,0.440984712
5062034.567,915151.9498,2279664.614,0.418816955
3588777.501,685532.324,1577662.459,0.434304328
449410.2289,155336.9007,141709.1485,0.490165422
323754.2536,81441.56934,82440.60626,0.378831308
320305.0023,64213.39697,107822.0897,0.447267517
4196956.14,623076.8262,2288212.859,0.491751984
141607.6774,36559.67065,37579.38399,0.280751189
274818.6071,70545.57458,61480.46156,0.414464228
429919.0859,123102.3673,141634.9263,0.479166987
420786.1628,69640.70796,180117.5504,0.376416042
12540133.27,3761530.699,3359510.933,0.405342399
397474.3428,80366.37785,142369.0024,0.374715658
1434700.373,336701.1734,754070.8835,0.51175668
368913.1653,87011.6799,169715.2822,0.465365286
885814.44,218425.1933,317679.6286,0.496108896
518335.5375,143961.507,114824.3167,0.294317842
452528.3611,119737.4152,207845.813,0.549508119
227178.8271,55460.17235,40039.25147,0.323284241
233652.4857,50281.28449,70806.13791,0.401821472
264246.4418,42817.00838,133572.9881,0.453354349
781514.4301,169966.9835,353546.4315,0.455531194
489120.0076,139234.2757,113663.6922,0.446506592
548206.3033,104792.4922,246793.6721,0.437651241
82964.19433,28191.52698,7342.323901,0.342625218
252223.463,59924.87229,78774.1285,0.409446161
382669.2376,82494.43216,141722.3053,0.371123482
327615.8691,92719.69938,72721.28107,0.401891448
701967.3752,143535.6078,165346.6893,0.295262308
600299.5177,160882.1905,185667.8777,0.368393482
396551.9018,62656.869,153376.2208,0.402730143
7897304.417,1734948.999,3641017.069,0.517624108
459271.0355,91873.66869,184642.9947,0.436779726
733468.6695,147307.8403,394299.291,0.471934897
320019.9932,66264.16894,117109.8354,0.343501548
230663.6126,43726.67085,49320.49866,0.251159914
416724.451,48833.61926,245060.1739,0.503887387
318648.6434,47165.31623,164548.3045,0.513955897
2281529.476,472167.8299,758776.6507,0.312466181
234371.7563,35273.17342,161200.0171,0.54875261
18041693.34,4817879.398,5039547.571,0.396548901
225544.7281,75856.71984,38795.95506,0.322258487
347559.4561,105703.086,67071.35817,0.380346584
2402.366109,682.3596526,0.069610518,0.274112322
793018.9486,141666.5233,354611.4913,0.431561444
387839.8436,55327.93513,295008.6554,0.553667011
193068.7398,22362.28816,91228.3138,0.365180417
282166.1491,23156.75676,165848.4706,0.339954424
337964.0177,41322.15298,195991.559,0.473220036
830722.1198,92047.9117,528839.6915,0.51114618
654355.9326,104740.6648,263332.094,0.277621181
266994.1665,44827.03795,141166.2477,0.475171128
227665.8823,62224.69679,48586.5992,0.271266804
245798.8101,43705.327,84514.05727,0.327834278
327824.9286,71885.8579,128379.2983,0.469392341
7.348067312,2.29258797,0.447592295,0.296251689
176251.6362,55143.41733,38535.29552,0.466183042
631874.9865,72428.04611,312315.4223,0.375387251
378511.0367,89610.8863,135928.634,0.41557906
241597.6766,42308.73333,68455.38592,0.24169458
322993.5189,83024.26405,66920.69882,0.361622516
158721.468,34693.10027,45847.55742,0.369351172
1122528.311,242723.8345,517305.6937,0.457581991
12816597.04,2813040.531,5191406.077,0.459078403
620617.2718,141857.4096,262384.5691,0.437583949
15598.73474,5569.3061,1672.37116,0.397669293
302238.6338,60462.25752,142382.4407,0.550002116
791996.4607,121440.5041,467299.7395,0.430495078
2187693.354,249131.1393,1112780.029,0.415827836
1280044.724,323612.1187,410736.1914,0.45018963
423685.8683,50979.51682,207937.4042,0.287479198
814944.2391,209914.0063,160434.4926,0.469599538
592710.0716,106812.4905,231032.7412,0.395405773
209186.4234,60951.37299,39213.74198,0.399526932
492015.8295,93725.6156,190956.2975,0.41781249
500546.8862,58421.58175,266097.2164,0.371472546
949157.1268,199033.9278,474880.0989,0.475967601
593419.4525,111945.9603,335824.0547,0.43302798
369807.1641,48114.17518,255542.0212,0.573622125
408050.0583,91536.5519,173441.4475,0.517314946
429964.4381,56267.1107,306002.8724,0.424040256
664086.3491,145359.0678,278865.6305,0.466472897
180989.3178,47380.97549,47073.6566,0.438444936
341549.1736,71584.22614,135337.7811,0.402545599
388361.9289,95864.68985,60592.06734,0.262091074
399412.3651,127061.3314,105899.4898,0.41813593
411518.1268,111784.0256,125054.2158,0.511894921
60403.26829,13793.07404,17952.80274,0.401278403
203990.1641,38252.00719,124501.1796,0.500040108
307009.1785,73423.36332,73304.88809,0.365338404
9.461295358,1.252402064,5.160780353,0.417268719
346492.4802,47552.85464,192405.3173,0.458412886
354201.4698,53714.10239,202673.5911,0.421708487
399601.0507,79508.47004,171196.0466,0.453479999
638077.0127,180525.485,207773.9584,0.489880244
29422429.49,9332784.583,7053875.023,0.431125513
13685027.5,2090447.215,9052516.065,0.486189529
680472.1563,171166.1319,315529.5242,0.474150344
764184.7722,179514.6616,193174.5985,0.390366784
327471.0832,95830.64949,48899.88817,0.288065344
233034.9927,37941.97081,170777.65,0.522608804
303316.311,78375.61933,89901.57469,0.336212859
416532.3948,90659.42223,160751.3635,0.435266389
555367.5408,109234.6797,216506.7216,0.424954572
1467109.387,227820.8472,787445.8097,0.497434451
88949.47251,19462.39153,24410.73034,0.323218397
675825.8369,126960.1888,284007.7825,0.442113659
450030.3948,110952.7554,156731.3632,0.52097117
242368.7544,57883.31079,90118.11966,0.385667595
301598.3198,119319.6834,52678.83906,0.440969584
10948650.06,1503321.047,5844053.763,0.490455818
282848.3508,8919.847911,301683.2393,0.439893047
383786.7737,100641.5853,139637.0954,0.468629124
54935.55153,16993.20614,9007.313511,0.381467977
271582.3305,58149.89143,88615.62655,0.387443103
352131.1671,90408.93599,117438.1463,0.400603502
629114.9953,64488.98618,463807.4659,0.52734707
563680.6654,119559.2807,205724.4855,0.420246245
440641.9708,96323.17011,170458.851,0.430316306
4182628.274,891034.2441,1473483.196,0.487838763
553942.6684,115523.7819,172400.7256,0.334317923
420686.5417,85026.73875,128373.8319,0.376861979
726719.3311,157431.4637,222900.8422,0.355790875
901964.8524,161115.8628,321323.2169,0.424608045
836690.2023,188809.4549,376234.154,0.451131961
208275.2479,42967.88997,80870.38694,0.390685971
275781.4969,55967.47848,102464.4465,0.351103622
311773.8189,82350.89133,82660.13195,0.419592172
336737.6351,105579.9915,65199.07996,0.346127216
516303.5368,92963.83398,104621.6128,0.348876897
547329.7259,119276.8344,164025.0272,0.235927859
994112.753,210526.3222,413313.5735,0.457578822
318762.5207,51089.42795,142839.1443,0.471631676
177118.751,38128.92715,64237.03942,0.429737792
396006.4174,67666.06998,174886.9837,0.359052237
1431107.999,332554.5262,425706.5809,0.328330276
7931597.61,978163.8399,3562598.038,0.315997686
1248404.121,283792.0954,466123.9517,0.488459188
99.37868001,25.89927434,10.85327564,0.32733505
570982.8268,111727.2341,229401.3155,0.472215014
510923.8306,122972.5053,122588.1392,0.309168309
11259946.44,1275244.75,5329647.077,0.39337199
5100308.154,1172682.133,1774444.259,0.401483115
784482.3946,216370.6827,200714.4857,0.448779296
2913762.465,635467.0978,838196.1619,0.362659368
365030.2123,60179.68123,145552.7186,0.366673355
452731.1256,120702.3638,66392.38143,0.283136282
351499.2494,54097.16641,118203.6751,0.396656171
319747.1154,98984.81425,60173.18839,0.366507536
459830.9828,101869.2985,191757.9088,0.443021872
1058373.857,229384.0424,464582.1674,0.443066511
504365.3072,55856.20706,358988.9268,0.525614598
138405.4711,34662.89516,44592.33172,0.44397875
998647.8095,135187.0564,502394.9377,0.398131271
5083845.52,1364340.524,1255269.567,0.358483472
10976812.87,1845053.898,8086485.798,0.540643874
1229419.779,115557.0988,998208.1273,0.492655537
1324991.986,235092.5559,653923.8922,0.458583574
434334.3406,82286.7662,278968.172,0.485163739
2856416.756,796010.4009,918320.3949,0.41106112
2436878.033,630230.0433,1112704.339,0.443029289
285950.833,57174.32947,119342.5658,0.382942284
354415.3078,34052.07234,230757.9144,0.414807891
425045.8812,91868.70159,154906.9821,0.357961449
7406271.948,1133453.812,2177599.503,0.312969858
332311.6832,54097.37769,179780.3174,0.413099008
561695.6106,48054.14986,370576.5823,0.314527248
435228.3021,124574.4665,85004.05289,0.218258534
495103.0661,105349.9967,160748.1645,0.415002317
539658.3242,79229.31066,329209.4443,0.449643409
1397660.597,220074.0725,747198.9024,0.375918387
3328481.274,648925.1499,1489671.084,0.273388857
173451.1676,31674.76698,52118.79187,0.358437654
272730.2755,72091.28371,31139.45852,0.305083683
399425.0838,46347.05311,198471.9644,0.322453
294889.6596,75104.60855,85788.19493,0.370196466
11766522.63,928655.5409,8128013.173,0.421031016
444569.1474,166824.8935,23813.83318,0.293405817
796479.5417,181969.677,270145.8609,0.411114854
794997.2811,191392.5556,216620.7105,0.35762167
315784.9227,56774.14862,128805.1192,0.412296672
2364865.787,565335.1005,632765.2055,0.366410607
1383860.456,216552.4339,680656.7578,0.418558125
15795454.3,2265811.831,7172438.681,0.375868316
494368.8964,121083.7077,116564.1267,0.337107599
375139.9864,94140.8494,97262.76182,0.383235534
7621753.231,1526220.326,2902309.208,0.427121311
835293.1634,164356.023,302464.3865,0.436046609
275818.4568,79763.371,73802.8283,0.32587241
1321697.527,232920.3194,643876.2121,0.337573504
857384.2865,107373.7255,481305.3843,0.449810462
271755.1895,51030.19806,175166.1072,0.523860357
314052.4843,74284.18357,65912.92999,0.280356162
95170.17997,25296.1937,17139.66001,0.449972991
225013.1437,45371.35535,83548.37793,0.323582585
345599.4904,54319.18577,127932.4505,0.351859744
961981.4926,213977.9923,426664.1727,0.477906749
174353.2802,52645.1154,63219.09687,0.47253299
17404.02066,4401.076587,0.03939908,0.3150052
472157.5767,73930.92431,250395.3378,0.438728038
2200189.367,590197.4506,606638.5801,0.366905458
330086.8713,34185.71753,147224.9303,0.353431613
132504.5611,34691.91722,49235.21345,0.410645788
390506.3886,57222.79021,315340.1665,0.525681839
295428.6433,69563.95823,126449.4971,0.394863
1697040.031,394931.6947,766748.8009,0.443711192
211609.8074,46576.3185,60037.79685,0.366693756
298882.4493,67560.71707,89139.85434,0.401034871
274844.2635,26823.3518,244844.5155,0.538195252
643013.6969,103372.2112,232167.3998,0.267493625
807057.6362,172229.5744,370585.7291,0.488801382
225312.2477,45991.91992,105380.5107,0.426619204
16417.28755,4924.048598,0.107208542,0.330103691
265545.815,65629.52053,72601.05851,0.385940395
1005011.291,163074.9838,335753.3416,0.387744225
597473.3084,112148.3433,389404.4773,0.563865522
897475.4348,185557.9659,275408.6665,0.422879101
489971.244,95745.33987,197045.0841,0.441206169
241576.1996,38480.38623,176482.053,0.379935852
812033.6253,171900.4963,181020.5887,0.340083733
360739.2645,67637.94875,121237.3625,0.446634235
389166.0315,78415.01175,143468.1474,0.412339703
551864.4668,124131.0112,239218.3027,0.477370146
615636.4944,100930.886,300482.2391,0.457322156
8231462.796,1852434.447,3020920.001,0.449881994
308464.7187,59157.21453,95262.91519,0.424969175
517955.0223,87470.00888,274234.3418,0.46840769
16282117.34,4035036.451,5269280.371,0.380109098
