a,b,s,m
1.340012992,0.220279763,1,0.542926824
1.603993018,0.258021174,1,0.44849546
1.665062332,0.297940453,1,0.510842867
2.234744803,0.313243799,1,0.322545546
1.74441182,0.307613554,1,0.501844004
3.017061119,0.876031841,1,0.437285762
2.279125504,0.389741271,1,0.403235183
4.135470761,1.006559571,1,0.406658519
5.592524533,1.564817987,1,0.337538613
2.626461632,0.431361777,1,0.341274119
15051.91814,4203.353932,1,0.285516475
1.913473725,0.443691792,1,0.523901738
2.996051563,0.735156193,1,0.446751057
2.69386634,0.506584389,1,0.396992598
2.105165166,0.282023023,1,0.239868535
2.136596627,0.318862124,1,0.457222334
4.709750943,1.363781103,1,0.30783123
1.957617102,0.282724918,1,0.441695727
3.748103488,1.328738476,1,0.411213649
2.636006221,0.577752493,1,0.462448764
2.375146216,0.49068924,1,0.415557326
2.932814527,0.644025891,1,0.307241001
2.846319907,0.685241548,1,0.369207271
2.775662113,0.669360225,1,0.313326925
2.767223554,0.498008521,1,0.353390354
1.476641786,0.199990039,1,0.466555079
3.846738322,1.068170203,1,0.463343443
3.75443774,0.851114677,1,0.297452808
2.10728146,0.41427111,1,0.469149299
1.970968103,0.276706962,1,0.428842153
2.599376562,0.553424013,1,0.468594071
3.772768468,0.981151479,1,0.419180177
2.621614724,0.461136136,1,0.397023157
3.806891632,0.766811969,1,0.341423604
1.41119279,0.227013626,1,0.48636998
2.628700504,0.555300559,1,0.469644444
3.365269577,0.839278802,1,0.386806109
4.339254988,0.836830932,1,0.281926852
2.37630279,0.568884674,1,0.433906296
2.290744029,0.424596908,1,0.453330046
4.464995095,1.62694666,1,0.446404119
1.864187945,0.259964432,1,0.398947109
1.578363826,0.172292899,1,0.489886873
2.522295223,0.476610017,1,0.394048377
1.829719473,0.157067182,1,0.286344634
1.928712091,0.330929383,1,0.51919717
1.525489762,0.101106299,1,0.350849844
2.484608723,0.560172009,1,0.445905198
2.958057959,0.713304482,1,0.407871631
2.70392412,0.479319665,1,0.359697923
0.98288299,0.070726488,1,0.520595311
2.128541538,0.355194624,1,0.476108558
1.838626061,0.291531548,1,0.401310912
2.139344948,0.472363274,1,0.391927542
2.838983072,0.406591917,1,0.31554425
2.510391795,0.388870824,1,0.419113239
3.486386784,0.58137157,1,0.340291351
3.771434683,1.078572067,1,0.413250489
2.291007591,0.549359672,1,0.519386401
3.894201182,1.163603355,1,0.36280149
1.539915629,0.323707996,1,0.465461639
1.852977328,0.272942047,1,0.431084199
2.597276015,0.541784525,1,0.474659586
3.250738535,0.618527955,1,0.249987309
1.465126736,0.155334914,1,0.401439098
2.569533686,0.368405687,1,0.408323902
4.166753743,0.994472098,1,0.40316195
2.746128858,0.702607545,1,0.358562698
1.447073306,0.257450437,1,0.515035002
2.799468131,0.547046587,1,0.387947301
2.513830367,0.428194967,1,0.269495854
2.216595237,0.519854941,1,0.577975233
2.831714006,0.586724805,1,0.347853853
2.76105158,0.653175979,1,0.387226563
3.2400412,0.827031784,1,0.331654669
4.907275183,1.489777695,1,0.331914143
1.379422865,0.127285952,1,0.381799673
2.289479027,0.400204447,1,0.416737475
1.927992475,0.295662681,1,0.466813899
3.004111656,0.86260869,1,0.505827485
2.312132946,0.428191165,1,0.392924857
1.355902756,0.186596376,1,0.506510075
2.195570445,0.446767875,1,0.544678408
2.092718184,0.274496788,1,0.385226569
4.589264762,1.227675166,1,0.457054068
4.072526723,1.091908773,1,0.389008871
3.608648154,0.895265044,1,0.336933737
3.782786519,0.871409106,1,0.34789614
1.412970988,0.126462179,1,0.468979741
4.31547393,1.353051111,1,0.456721636
2.332888366,0.542492851,1,0.397489232
2.205568975,0.459575507,1,0.423442402
3.257308376,0.835709333,1,0.353329079
3.709261684,0.997338666,1,0.334745262
2.596388673,0.725167299,1,0.464851062
1.678673683,0.292179283,1,0.497194932
2.794252557,0.659967872,1,0.459876997
3.560330057,0.620747038,1,0.389254156
2.093594317,0.549719093,1,0.488398085
2.12362174,0.345335547,1,0.406198089
2.892601246,0.552628735,1,0.318115639
4.129881613,1.22638322,1,0.340752265
2.269761056,0.466571821,1,0.431137665
2.395190596,0.547148552,1,0.477297209
3.608049959,0.912516201,1,0.449905699
1.891307112,0.280907181,1,0.438266881
1.932880115,0.322121648,1,0.453386851
2.150015198,0.369628487,1,0.502785088
2.903034766,0.77229062,1,0.478616881
2.739714734,0.594437906,1,0.441037072
2.365591605,0.440102448,1,0.376381043
4.206275278,1.018184729,1,0.351041595
1.971577082,0.414493847,1,0.445560538
1.406559541,0.152775244,1,0.480492061
2.46570444,0.305763004,1,0.382912652
1.211939423,0.176570134,1,0.487351809
3.769313857,1.252984436,1,0.394040584
2.282906522,0.503941502,1,0.461995921
2.254049801,0.288324379,1,0.364547606
3.94557307,1.071622029,1,0.444229812
2.127889559,0.358558652,1,0.423419874
1.91685319,0.370511191,1,0.564255004
205.6611358,63.73765149,1,0.382258264
4.057819553,0.847760268,1,0.349103214
2.771029978,0.555899814,1,0.370172222
3.536245394,0.777416828,1,0.324503583
4.149961956,0.915418228,1,0.338402956
2.238874198,0.521908103,1,0.496865477
1.665458372,0.220173328,1,0.406249939
4.262437754,1.006409631,1,0.203814207
2.21409222,0.46751958,1,0.447109805
2.584463347,0.467137335,1,0.442046417
2.048702234,0.319836335,1,0.479183807
2.726691407,0.614725407,1,0.397262824
2.258213776,0.47985141,1,0.427478675
718.2347199,293.4633225,1,0.434442417
2.703892921,0.539434812,1,0.369354861
2.589744067,0.491697033,1,0.423174481
4.286942155,1.045680008,1,0.372772747
3.329269302,0.907921881,1,0.332165056
3.588480164,0.977017678,1,0.380277341
2.233070812,0.322233795,1,0.365242105
1.522136893,0.269782856,1,0.559369003
3.478215654,0.765392646,1,0.361381024
2.714615072,0.649434449,1,0.424869768
10.37557036,3.185291753,1,0.310373729
2.267875771,0.516069993,1,0.488034399
1.758524697,0.20122541,1,0.388741111
1.867748974,0.351366048,1,0.45065165
3.344269144,0.81151932,1,0.437934253
1241.33209,423.3922197,1,0.486235076
2.952706412,0.694148536,1,0.402086079
4.573491839,1.43159122,1,0.362027619
1.942165393,0.301002564,1,0.4303786
2.931861762,0.62404279,1,0.436222112
1.656303688,0.242551171,1,0.485306177
2.979683366,0.678122741,1,0.389712673
3.709991767,0.735874922,1,0.378985556
213.4198238,74.24429982,1,0.33512094
2.229559284,0.466453449,1,0.363582717
1.876186571,0.314212893,1,0.522448332
2.982259258,0.628216081,1,0.338445073
2.459866345,0.592760974,1,0.441593006
1.75911199,0.35034005,1,0.457996142
1.872668731,0.236211438,1,0.351674651
4.296005621,1.295391912,1,0.418113265
1.473265946,0.184164693,1,0.460505917
1.660822261,0.230302732,1,0.546606358
2.423538602,0.423451208,1,0.465342768
3.217780423,0.723065141,1,0.347925214
1.956314668,0.377036082,1,0.478480961
2.729779336,0.503334834,1,0.419133249
5.460263593,1.652124408,1,0.364703289
2.08030018,0.402096855,1,0.442048211
1.713960905,0.210181888,1,0.45484412
1.352735546,0.136295746,1,0.497768781
7.529793641,2.352725044,1,0.299876356
2.828643542,0.5227902,1,0.449548562
3438.906617,1046.736978,1,0.328523237
3.4396366,0.630993193,1,0.315103665
2.712923942,0.575535159,1,0.460452673
2.894072117,0.64435315,1,0.351183685
2.619410735,0.633626962,1,0.472906149
2.524593097,0.477790613,1,0.432639211
1.530321212,0.184756172,1,0.492293115
2.482259141,0.629621817,1,0.431305984
2.600868566,0.388230837,1,0.277680405
2.439125822,0.469262132,1,0.469473196
4.380348549,1.587104869,1,0.422697389
6.531923185,1.756298157,1,0.276818821
2.279804252,0.468229399,1,0.373973908
6.449292342,2.3009191,1,0.32926765
2.204795733,0.501160988,1,0.485315659
2.681493273,0.647601948,1,0.490597405
2.067964482,0.312663821,1,0.376807054
2.468289054,0.529167271,1,0.441293615
2.820545514,0.657488104,1,0.350395737
1.572565342,0.192191929,1,0.443682139
1.549814418,0.200355025,1,0.486871591
2.07396269,0.487838513,1,0.468510806
3.098046676,0.66742628,1,0.393909142
1.648128273,0.188848955,1,0.360170595
1.542382504,0.168769955,1,0.440680104
1.263119178,0.140944149,1,0.418092744
2.506786528,0.47062998,1,0.427412381
6.516861992,2.037161174,1,0.349699619
1.93707718,0.253617879,1,0.335795007
1.411219167,0.11801278,1,0.405971875
2.804267081,0.853026962,1,0.386579221
3.404263058,0.658415303,1,0.358416777
1.541321113,0.245709836,1,0.638379913
4.541981992,1.193049824,1,0.342850086
2.744376188,0.688838346,1,0.45031085
1.810723996,0.365558025,1,0.541798394
3.81508949,1.078933751,1,0.391348681
2.990652806,0.510598481,1,0.348904659
3.794427094,0.891434492,1,0.375527316
3.127355388,0.642691577,1,0.448987363
2.191917132,0.366364638,1,0.344921128
2.304738581,0.440669292,1,0.469342104
1.881017738,0.251887367,1,0.351574385
3.93644571,1.105990051,1,0.344035302
3.785788266,1.168519389,1,0.380189247
2.361619992,0.395861417,1,0.353048527
3.031806498,0.722631844,1,0.388229283
3.340879564,0.777417578,1,0.4384214
4.357426141,1.021092707,1,0.351007418
2.409975432,0.565794232,1,0.498642783
3.081837565,0.796483627,1,0.400716928
2.500293324,0.497005211,1,0.449647759
2.210334411,0.292005047,1,0.382447084
2.486330746,0.424442107,1,0.388521037
2.228505745,0.330461818,1,0.433966268
4.964963553,1.230362252,1,0.350880266
2.264330994,0.417214582,1,0.454872894
2204.233154,616.6611217,1,0.245535467
3.773682976,0.584156095,1,0.326987959
2.881625472,0.786737706,1,0.376818814
3.186146987,0.878661414,1,0.423984381
3.078441046,0.820802482,1,0.419314658
2.965383245,0.564058913,1,0.317277922
3.268594178,1.059937124,1,0.457981862
4.748845306,1.284430407,1,0.376028196
3.616605831,1.083306215,1,0.444728073
7.60224837,1.945627799,1,0.267401296
2.363564067,0.54804363,1,0.430040045
1.719251767,0.312741699,1,0.503486413
2.102029754,0.404788789,1,0.448124356
2.525575705,0.425345294,1,0.325306877
2.687498421,0.708742204,1,0.406322278
2.656068852,0.430809954,1,0.344669102
1.846451883,0.347186454,1,0.441547048
3.718004203,1.07199262,1,0.453784979
11.13251988,3.414910719,1,0.345355374
1.275354777,0.111152451,1,0.455450053
1.794109126,0.240185328,1,0.395415291
2.43868644,0.450552042,1,0.47685843
2.407443814,0.361905164,1,0.342316654
2.425027759,0.45941309,1,0.402601997
5.611833266,1.592083134,1,0.355435617
1.697417208,0.246539928,1,0.497622022
2.321081789,0.401344424,1,0.381527854
2.005224554,0.232889909,1,0.349725406
2.550769476,0.638609103,1,0.453281973
3.202421977,0.625362492,1,0.328526712
6.872919927,2.048869583,1,0.288245823
2.907772986,0.642383695,1,0.374958119
6.442114032,2.130321475,1,0.292558529
2.670555621,0.473638472,1,0.343849066
4.877394382,1.218613413,1,0.255929943
2.246494523,0.41918926,1,0.454175826
2.519787548,0.329279943,1,0.289593427
3.790259247,0.900727739,1,0.413840349
2.740702253,0.664973314,1,0.421104174
2.588519536,0.525196192,1,0.410877678
4.614116211,1.322042752,1,0.351367485
7.012813706,2.004684328,1,0.400860549
5.639195928,2.023876019,1,0.317884832
1.821721638,0.182455394,1,0.376805934
4.42521824,0.897093002,1,0.265372182
2.759361454,0.628279129,1,0.454066814
2.956803594,0.520465299,1,0.294256281
2.902245054,0.431014477,1,0.385792965
2.202655711,0.427121991,1,0.419311509
1.825369059,0.315707882,1,0.449628276
1.742697562,0.314181404,1,0.45338053
6.982390126,1.604455318,1,0.435328324
5.187457832,1.353884593,1,0.285530651
5.132887548,1.233991737,1,0.304553772
5.276316965,1.378139944,1,0.271528408
2.247121467,0.399758543,1,0.404165577
2.58439336,0.623663945,1,0.408855169
3.289613888,0.674297171,1,0.415079792
3.183933235,0.694915478,1,0.366131277
6.317104202,1.770988361,1,0.367917241
1.831477757,0.238865265,1,0.362237601
2.626795289,0.601583849,1,0.483427411
2.69481799,0.417991599,1,0.382520689
1.990399449,0.382034901,1,0.49867775
3.306364875,0.849501035,1,0.500660699
2.650746344,0.469603664,1,0.424193467
2.328011184,0.511061392,1,0.452607684
3.90888045,0.965031041,1,0.339667941
2.457310559,0.35383631,1,0.279649878
1.538114981,0.152333505,1,0.429265043
2.272733841,0.46766366,1,0.31729106
4.231266392,1.316265183,1,0.385175191
2.830772133,0.720440457,1,0.432966356
2.792104143,0.51799285,1,0.443141618
3.560082376,1.16237193,1,0.430937344
3.851936439,0.859349795,1,0.293937702
2.401117708,0.526930029,1,0.418372039
2.99377254,0.722797284,1,0.376418554
4.130567301,1.246026294,1,0.407722744
2.691163751,0.6248699,1,0.471472744
2.473098454,0.48814241,1,0.382997051
3.035442132,0.535237018,1,0.355466002
1980.452518,522.4449983,1,0.411078587
3.16882606,0.82043003,1,0.400320047
3.273587154,0.910300054,1,0.422918019
8099.042056,2132.712694,1,0.421646353
170953.7123,53589.47707,1,0.351493348
3.765999257,0.923389645,1,0.350906889
2.77051369,0.727613521,1,0.381991982
1.718870485,0.245263855,1,0.529578204
2.966599508,0.799712869,1,0.350805433
2.315361574,0.290091712,1,0.382201637
2829.787817,691.7383623,1,0.346649856
4.214586729,0.95569063,1,0.324772515
4.34494558,1.229715987,1,0.352884169
3.509346938,0.983042533,1,0.412765573
3.150713885,0.676848815,1,0.448468284
3.44299904,0.717217683,1,0.408476315
2.640104078,0.582550676,1,0.517406498
1.596318679,0.263004286,1,0.576444881
2.190472418,0.332975276,1,0.438346691
