a,b,m,s
2.509048494,0.364616215,1.666375836,0.446205529
5.500951659,0.924702216,2.553806171,0.505717274
5.27967673,1.032392182,1.870879326,0.458055517
4.147755507,0.934279554,1.413464225,0.345195696
4.703947799,0.962221624,2.233103469,0.447649435
4.06675957,0.765505682,1.801760912,0.406510761
110.8171063,38.13733623,-11.20247012,0.379894687
4.743729725,0.948426483,2.040659184,0.421908728
2.809122938,0.409039526,1.699447594,0.442821363
5.566931231,0.795097044,2.518208418,0.461319169
45.85292237,14.53824586,2.998851453,0.297550568
5.78391824,1.125407402,1.881602171,0.440813765
36.01195984,10.34617286,2.413396594,0.329021182
4.843381976,0.907299639,1.449884696,0.312654842
8.547330903,1.956422844,2.447904783,0.436335318
8.959550528,2.095993239,2.2478181,0.33616843
28.58196731,7.749513338,3.520211299,0.440957623
11.01353336,2.317229097,2.760423975,0.393406431
4.162200399,0.619413785,2.411250133,0.453453675
24.41554592,6.726348315,3.800503083,0.385054882
5.068305741,0.829222073,1.843065687,0.2629126
168.1704286,37.82646858,5.130948283,0.451102089
24.87720408,8.825434609,3.383512589,0.39390849
15.30609209,4.086585388,2.243048023,0.266759959
2.982875969,0.626573979,1.378710131,0.369500786
29.68708338,10.02387197,3.303990616,0.299513186
8.201991676,1.918642271,2.628526124,0.451267543
9.240483345,2.341015815,2.474869965,0.464141996
2.848723806,0.46549317,1.396405212,0.37314362
71.75983618,24.37503176,-7.741845795,0.50909794
35.17505513,8.892191807,3.693636699,0.319792294
3.166025581,0.477660113,1.752760944,0.432727424
6.168216832,0.985365355,2.537897307,0.452799216
5.816369142,1.504968953,2.102509682,0.456314461
18.00374138,4.148496178,3.32031315,0.34717012
3.269963687,0.465502029,1.79343901,0.343780751
3.323632119,0.40054917,2.082576009,0.398835035
2.428119192,0.297136048,1.913193799,0.376278411
7.187317572,1.528541782,2.14269293,0.411473393
10.21182628,3.184778076,1.700987469,0.347479769
3.178808994,0.428465987,1.653829789,0.320933621
2.208636692,0.201213671,1.67300609,0.381273432
44.73448132,17.66320884,-12.57828368,0.422675158
7.349862046,1.44368287,2.269354409,0.338364851
86.51304634,18.84670828,5.197957527,0.564185683
67.97060176,18.38447757,4.032988748,0.309840668
60.73102652,20.73651694,-7.603853642,0.502405601
8.068833504,1.763069889,2.814176089,0.496678354
77.53761814,27.0646571,-11.72922368,0.407352832
4.837704322,0.856282218,1.772274953,0.33795488
8.425182323,1.968098026,2.082843168,0.363150854
5.050641931,1.051915393,1.756093643,0.442042285
4.329517966,0.770037079,1.74071476,0.33645498
7.521984642,1.543077339,2.402463383,0.444301206
2.715741046,0.371672758,1.471811071,0.343325802
17.20524615,4.915030203,2.796138141,0.318604641
15.9488511,5.031293507,2.688964016,0.361748174
2.883569859,0.501233913,1.258882184,0.351738132
17.05251864,4.295742223,3.143273829,0.346036975
6.939040233,1.612222322,2.164849941,0.422600862
7.100556236,1.672858958,1.727484918,0.346036156
18.14805839,4.5687589,3.524292893,0.458885256
23.23948329,6.33232279,3.217888602,0.370064943
9.197732279,2.028569352,2.467181849,0.434288761
5.410115436,0.777561881,2.016934482,0.367939916
6.523199833,1.197333957,2.21872391,0.36873349
529.8778621,115.3786812,6.541670963,0.342341958
8.446197615,2.094161123,1.85562495,0.345361848
3.525298846,0.667310376,1.684684374,0.444870627
8.509008643,2.311836122,-15.1953792,0.245375561
5.583726516,0.889388821,1.613846549,0.322761881
51.40357437,18.69358415,-12.78996265,0.356321865
52.58615186,18.42793146,-10.93553081,0.454175923
9.020166556,2.31863982,2.473516335,0.394771334
6.014248615,1.218580203,2.006830149,0.300700821
31.69280057,10.14983294,3.64657447,0.418030906
20.01675308,5.436156587,2.733494532,0.360985593
4471.296031,1618.766735,-1.903308693,0.465763891
15.76278389,3.995306621,2.333313803,0.25930879
81.11429269,27.07755003,-10.19013037,0.488344306
3.603283396,0.72622038,1.837271328,0.49502043
5.068977562,1.045127783,2.113879544,0.43074935
5.108602089,0.930715353,1.863402515,0.312848864
53.58097427,19.51520962,-10.78879585,0.442416892
3.16910996,0.530015992,1.225048741,0.343629982
2507.837886,663.6842069,7.847412183,0.402200485
13.45636455,3.996240056,2.701149528,0.431912461
31.62346086,9.61047754,2.655894191,0.338134818
2.177815062,0.235844455,1.64936726,0.43923062
3.10863756,0.447255076,1.657608073,0.382046636
8.617268915,1.814831069,2.728480504,0.431794002
3.581220971,0.562200585,1.553585783,0.333458429
11.22681876,2.3812256,2.824371846,0.370631614
207.9525282,60.72925624,5.018963487,0.334519164
5.105176917,0.911150065,2.205236779,0.476308513
4.223441613,0.781474873,1.976413647,0.353399417
3.95813924,0.519709174,1.944019126,0.321004355
10.87532728,2.972151145,2.655918825,0.428773305
12.14027813,2.625564066,2.422913942,0.312826933
12.05144419,3.572771633,1.934741449,0.282602531
4.845620516,1.059157901,1.744831016,0.367329789
75.18814635,26.80575699,-11.72427803,0.297797599
3.909390316,0.69001735,1.565399928,0.336462763
8.849563828,2.217362926,1.804420483,0.251046543
14.86795664,3.350362864,3.571602491,0.373488595
3.441797396,0.468322122,1.468875228,0.282646052
95.27180131,26.20822335,-10.28158143,0.429564062
17.48322465,4.3950365,3.166206962,0.388366193
5.255852776,1.113187238,2.180883528,0.378458123
14.14680705,4.095608453,2.622849241,0.32571145
18.41224608,5.250822829,2.370841257,0.396062906
49.7369587,18.49764504,-13.05079115,0.329033423
2.905533079,0.323050083,1.569703741,0.368673368
7.687267049,1.589318406,1.807244207,0.259990653
6.959312723,1.660391512,2.131586852,0.446278338
13.18109788,2.432899309,2.709643128,0.264095683
7.821076605,1.297663199,2.229368801,0.364529772
19.21470163,4.419342033,3.361619876,0.37984571
50.98783445,16.55892765,-8.587012093,0.548582891
108.0253595,32.94178652,-12.65697916,0.533258664
15.75329667,3.689671826,2.647550264,0.423834699
34.79704647,9.293110213,3.156597482,0.270808159
3.787856166,0.904890764,0.552010324,0.303082037
15.74811776,4.19756098,2.269172867,0.267135503
4.438870492,0.855518687,1.840764282,0.390872671
22.21899174,8.03882614,-7.093683876,0.464754281
6.931113671,1.463878475,2.09048551,0.402535268
4.598164365,1.034219054,1.450626964,0.363498923
10.92495803,3.087604762,1.883223088,0.364293073
3.340408894,0.472650478,1.835504753,0.334078964
5.798373383,1.39670924,2.061255604,0.467180937
5.166423443,0.805176868,1.966457531,0.362051397
9.135750229,2.052341413,2.781812305,0.481575798
41.61621107,11.70308737,3.477100881,0.491666804
4.844639483,0.903184701,1.743445346,0.417328058
23.97121723,6.346207878,3.452998442,0.415227923
6.801769476,1.703459595,1.711586826,0.333584272
5.035455086,0.758276186,1.922251379,0.257911256
9.022634457,1.169942992,3.143865212,0.367046732
6.47506601,1.425556572,2.119413371,0.303079789
13.51618555,4.176290699,2.722813113,0.363004359
51.97389116,18.46234027,-7.71852852,0.482405492
3.36176073,0.640501182,1.266782455,0.442107289
45.19059776,19.20141274,-8.624922133,0.454647726
5.513887972,1.255841337,1.500967872,0.290447383
8.016328196,1.972916517,2.471962447,0.385864911
4.598967894,1.144815448,1.567582801,0.3736893
