video_id,trial_id,trial_week,trial_rep,camera_num,video_length,video_minutes,video_seconds,video_subtotal,tank_id,crab_dens,prey_in,prey_eaten,metadat_id,crab_id,aggressive_posture,fights_initiated,fights_responded,claw_strikes,claw_claps,mussels_handled,mussels_eaten,duration_activity,activity_minutes,activity_seconds,activity_subtotal,notes,
1.2.2,1.2.2.20,1,2,2,19:53,19,53,19.88,2-BD,2,20,4,26.2,26,0,0,0,0,0,2,0,2:00 min,2,0,2,GP031433,
1.2.2,1.2.2.20,1,2,2,19:53,19,53,19.88,2-BD,2,20,4,26.2,26,0,0,0,0,0,0,0,1:01 min,1,1,1.02,GP041433,
1.2.2,1.2.2.20,1,2,2,19:53,19,53,19.88,2-BD,2,20,4,27.2,27,0,0,0,0,0,2,0,1:15 min,1,15,1.25,,
1.2.2,1.2.2.20,1,2,2,19:53,19,53,19.88,2-BD,2,20,4,26.2,26,3,0,0,0,0,0,0,5:33 min,5,33,5.55,GP051433,
1.2.2,1.2.2.20,1,2,2,19:53,19,53,19.88,2-BD,2,20,4,27.2,27,6,2,0,2,0,0,0,4:23 min,4,23,4.38,,
1.2.2,1.2.2.20,1,2,2,19:53,19,53,19.88,2-BD,2,20,4,26.2,26,2,0,1,1,0,0,0,6:29 min,6,29,6.48,GP061433,
1.2.2,1.2.2.20,1,2,2,19:53,19,53,19.88,2-BD,2,20,4,27.2,27,6,2,0,3,0,0,0,6:38 min,6,38,6.63,,
1.2.2,1.2.2.20,1,2,2,1:31,1,31,1.52,2-BD,2,20,4,26.2,26,0,0,0,0,0,0,0,0:36 min,0,36,0.6,GP071433,
1.2.2,1.2.2.20,1,2,2,1:31,1,31,1.52,2-BD,2,20,4,27.2,27,1,1,0,1,0,0,0,1:29 min,1,29,1.48,,
2.1.2,2.1..,2,1,2,19:53,19,53,19.88,,,,,,,0,0,0,0,0,0,0,0,0,0,0,GOPR1434,
2.1.2,2.1..,2,1,2,19:53,19,53,19.88,,,,,,,0,0,0,0,0,0,0,0,0,0,0,GP011434,
2.1.2,2.1..,2,1,2,19:53,19,53,19.88,,,,,,,0,0,0,0,0,0,0,0,0,0,0,GP021434,
2.1.2,2.1.2.20,2,1,2,19:53,19,53,19.88,2-BI,2,20,10,42.1,42,0,0,0,0,0,1,0,1:18 min,1,18,1.3,GP031434,
2.1.2,2.1.2.20,2,1,2,19:53,19,53,19.88,2-BI,2,20,10,36.1,36,0,0,0,0,0,0,0,2:56 min,2,56,2.93,,Stuck on back @18min
2.1.2,2.1.2.5,2,1,2,19:53,19,53,19.88,2-BD,2,5,3,30.1,30,0,0,0,0,0,1,1,2:30 min,2,30,2.5,,
2.1.2,2.1.2.20,2,1,2,19:53,19,53,19.88,2-BI,2,20,10,42.1,42,0,0,0,0,0,3,1,2:25 min,2,25,2.42,GP041434,
2.1.2,2.1.2.20,2,1,2,19:53,19,53,19.88,2-BI,2,20,10,36.1,36,1,0,0,0,0,0,0,4:04 min,4,4,4.07,,
2.1.2,2.1.2.5,2,1,2,19:53,19,53,19.88,2-BD,2,5,3,30.1,30,1,1,0,1,0,2,1,4:43 min,4,43,4.72,,
2.1.2,2.1.2.5,2,1,2,19:53,19,53,19.88,2-BD,2,5,3,17.2.1,17,1,0,0,0,0,1,0,0:36 min,0,36,0.6,,
2.1.2,2.1..,2,1,2,19:28,19,28,19.46666667,,,,,,,0,0,0,0,0,0,0,0,0,0,0,GP051434,
2.2.2,2.2.2.20,2,2,2,19:53,19,53,19.88,2-BD,2,20,5,42.2,42,2,2,0,3,0,0,0,1:56 min,1,56,1.93,GOPR1435,
2.2.2,2.2.2.20,2,2,2,19:53,19,53,19.88,2-BD,2,20,5,36.2,36,1,0,0,0,0,0,0,4:59 min,4,59,4.98,,
2.2.2,2.2.2.5,2,2,2,19:53,19,53,19.88,2-BI,2,5,5,30.2,30,1,0,0,0,0,0,0,4:53 min,4,53,4.88,,
2.2.2,2.2.2.5,2,2,2,19:53,19,53,19.88,2-BI,2,5,5,17.2.2,17,0,0,0,0,0,0,0,0:52 min,0,52,0.87,,
2.2.2,2.2..,2,2,2,19:53,19,53,19.88,,,,,,,0,0,0,0,0,0,0,0,0,0,0,GP011435,
2.2.2,2.2.2.20,2,2,2,19:53,19,53,19.88,2-BD,2,20,5,42.2,42,0,0,0,0,0,1,1,0:16 min,0,16,0.27,GP021435,
2.2.2,2.2.2.20,2,2,2,19:53,19,53,19.88,2-BD,2,20,5,36.2,36,0,0,0,0,0,0,0,1:04 min,1,4,1.07,,
2.2.2,2.2.2.20,2,2,2,19:53,19,53,19.88,2-BD,2,20,5,42.2,42,0,0,0,0,0,1,1,3:56 min,3,56,3.93,GP031435,
2.2.2,2.2..,2,2,2,19:53,19,53,19.88,,,,,,,0,0,0,0,0,0,0,0,0,0,0,GP041435,
2.2.2,2.2..,2,2,2,19:53,19,53,19.88,,,,,,,0,0,0,0,0,0,0,0,0,0,0,GP051435,
2.2.2,2.2..,2,2,2,11:18,11,18,11.3,,,,,,,0,0,0,0,0,0,0,0,0,0,0,GP061435,
1.2.3,1.2.3.5,1,2,3,19:53,19,53,19.88,3-BD,3,5,5,5.2,5,0,0,0,0,0,2,1,1:10 min,1,10,1.17,GOPR0052,
1.2.3,1.2.1.5,1,2,3,19:53,19,53,19.88,3-BI,1,5,5,17.1.2,17,0,0,0,0,0,0,0,0,0,0,0,,
1.2.3,1.2.3.5,1,2,3,19:53,19,53,19.88,3-BD,3,5,5,5.2,5,0,0,0,0,0,1,1,0 min,0,0,0,GP010052,
1.2.3,1.2.3.5,1,2,3,19:53,19,53,19.88,3-BD,3,5,5,6.2,6,0,0,0,0,0,0,0,1:07 min,1,7,1.12,,
1.2.3,1.2.3.5,1,2,3,19:53,19,53,19.88,3-BD,3,5,5,5.2,5,0,0,0,0,0,2,0,0 min,0,0,0,GP020052,
1.2.3,1.2.3.5,1,2,3,19:53,19,53,19.88,3-BD,3,5,5,6.2,6,0,0,0,0,0,0,0,1:05 min,1,5,1.08,,
